"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.443256689E1,6.150444512E1,2.361041407E1,1.154020637E2,1.500000000E0,9.169999695E1,3.790092468E0,2.500000000E0
9.543327231E1,6.150444431E1,2.361044309E1,1.153386490E2,1.539999962E0,9.140000153E1,3.790092468E0,2.500000000E0
9.643314793E1,6.150444358E1,2.361047131E1,1.152655907E2,1.529999971E0,9.219999695E1,3.790092468E0,2.500000000E0
9.743276819E1,6.150444162E1,2.361049722E1,1.154289204E2,1.320000052E0,9.880000305E1,3.790092468E0,2.500000000E0
9.843326580E1,6.150443455E1,2.361051836E1,1.157658910E2,1.429999948E0,1.203000031E2,3.790092468E0,2.500000000E0
9.943254074E1,6.150442184E1,2.361053226E1,1.161628544E2,1.559999943E0,1.493999939E2,3.790092468E0,2.500000000E0
1.004329837E2,6.150440522E1,2.361053653E1,1.166851193E2,1.590000033E0,1.680000000E2,3.790092468E0,2.500000000E0
1.014326679E2,6.150438806E1,2.361053453E1,1.172168441E2,1.570000052E0,1.751999969E2,3.790092468E0,2.500000000E0
1.024329339E2,6.150437068E1,2.361053045E1,1.175144987E2,1.690000057E0,1.776000061E2,3.790092468E0,2.500000000E0
1.034325306E2,6.150435231E1,2.361052525E1,1.179755436E2,1.830000043E0,1.798999939E2,3.790092468E0,2.500000000E0
1.044325737E2,6.150433498E1,2.361051982E1,1.184301806E2,1.659999967E0,1.803000031E2,3.790092468E0,2.500000000E0
1.054332171E2,6.150431838E1,2.361051554E1,1.187105629E2,1.710000038E0,1.795000000E2,3.790092468E0,2.500000000E0
1.064329291E2,6.150430228E1,2.361051251E1,1.188088778E2,1.669999957E0,1.778000031E2,3.790092468E0,2.500000000E0
1.074325408E2,6.150428618E1,2.361050861E1,1.189031032E2,1.720000029E0,1.795000000E2,3.790092468E0,2.500000000E0
1.084332651E2,6.150426977E1,2.361050411E1,1.199367205E2,1.720000029E0,1.803999939E2,3.790092468E0,2.500000000E0
1.094332101E2,6.150425292E1,2.361050097E1,1.200791632E2,1.759999990E0,1.793000031E2,3.790092468E0,2.500000000E0
1.104325212E2,6.150423747E1,2.361049913E1,1.203517950E2,1.570000052E0,1.750000000E2,3.790092468E0,2.500000000E0
1.114325789E2,6.150422274E1,2.361049900E1,1.207029797E2,1.620000005E0,1.726000061E2,3.790092468E0,2.500000000E0
1.124327259E2,6.150420768E1,2.361049962E1,1.213036149E2,1.639999986E0,1.726000061E2,3.790092468E0,2.500000000E0
1.134325626E2,6.150419194E1,2.361050015E1,1.216295914E2,1.679999948E0,1.743000031E2,3.790092468E0,2.500000000E0
1.144328745E2,6.150417628E1,2.361049965E1,1.219143081E2,1.669999957E0,1.758999939E2,3.790092468E0,2.500000000E0
1.154332716E2,6.150416053E1,2.361049750E1,1.221674694E2,1.659999967E0,1.776999969E2,3.790092468E0,2.500000000E0
1.164332517E2,6.150414491E1,2.361049593E1,1.222883677E2,1.659999967E0,1.781999969E2,3.790092468E0,2.500000000E0
1.174332394E2,6.150412956E1,2.361049573E1,1.223729504E2,1.610000014E0,1.768000031E2,3.790092468E0,2.500000000E0
1.184325451E2,6.150411459E1,2.361049657E1,1.229032121E2,1.669999957E0,1.758999939E2,3.790092468E0,2.500000000E0
1.194326907E2,6.150409920E1,2.361049736E1,1.229854145E2,1.659999967E0,1.768000031E2,3.790092468E0,2.500000000E0
1.204324265E2,6.150408390E1,2.361049735E1,1.231555685E2,1.669999957E0,1.781999969E2,3.790092468E0,2.500000000E0
